@relation matoll
@attribute 'normalizedFrequency' numeric
@attribute 'averageLenght' numeric
@attribute 'overallRatioLabel' numeric
@attribute 'numberPattern' numeric
@attribute 'overallRatioEntries' numeric
@attribute 'SPARQLPattern_EN_7' {0,1}
@attribute 'SPARQLPattern_EN_8' {0,1}
@attribute 'SPARQLPattern_EN_1' {0,1}
@attribute 'SPARQLPattern_EN_2' {0,1}
@attribute 'SPARQLPattern_EN_3' {0,1}
@attribute 'SPARQLPattern_EN_4' {0,1}
@attribute 'SPARQLPattern_EN_5' {0,1}
@attribute 'pos_adjective' {0,1}
@attribute 'pos_commonNoun' {0,1}
@attribute 'pos_verb' {0,1}
@attribute 'class' {0,1}
@data
30,35.0,0.13953488372093023,1,0.6666666666666666,0,0,1,0,0,0,0,0,0,1,1
5,22.0,0.023255813953488372,1,0.2777777777777778,0,0,1,0,0,0,0,0,0,1,1
2,54.0,0.009302325581395349,1,0.030303030303030304,0,0,1,0,0,0,0,0,0,1,1
3,28.0,1.0,1,0.016129032258064516,0,0,0,0,0,0,1,1,0,0,1
3,167.0,0.023622047244094488,1,0.2,1,0,0,0,0,0,0,0,1,0,1
2,58.0,0.015748031496062992,1,0.010752688172043012,1,0,0,0,0,0,0,0,1,0,1
2,83.0,0.015748031496062992,1,0.01694915254237288,1,0,0,0,0,0,0,0,1,0,1
1,235.0,1.0,1,0.06666666666666667,0,0,0,0,0,0,1,1,0,0,1
2,74.0,1.0,1,0.08,1,0,0,0,0,0,0,0,1,0,0
1,103.0,1.0,1,0.004807692307692308,0,0,1,0,0,0,0,0,0,1,0
2,50.0,0.6666666666666666,1,4.4553352639786146E-4,0,0,1,0,0,0,0,0,0,1,0
1,141.0,0.3333333333333333,1,0.0014947683109118087,0,0,1,0,0,0,0,0,0,1,0
1,40.0,0.5,1,2.2276676319893073E-4,0,0,1,0,0,0,0,0,0,1,0
1,87.0,0.5,1,0.0014947683109118087,0,0,1,0,0,0,0,0,0,1,0
2,131.0,1.0,1,0.00437636761487965,1,0,0,0,0,0,0,0,1,0,0
1,108.0,1.0,1,8.051529790660225E-4,0,0,1,0,0,0,0,0,0,1,0
1,87.0,0.3333333333333333,1,2.2276676319893073E-4,0,0,0,0,0,0,1,1,0,0,0
1,135.0,0.3333333333333333,1,9.560229445506692E-4,0,0,0,0,0,0,1,1,0,0,0
1,222.0,0.3333333333333333,1,0.001277139208173691,0,0,0,0,0,0,1,1,0,0,0
1,47.0,0.5,1,7.82472613458529E-4,0,0,1,0,0,0,0,0,0,1,0
1,73.0,0.5,1,0.0014265335235378032,0,0,1,0,0,0,0,0,0,1,0
1,105.0,1.0,1,0.0049261083743842365,0,1,0,0,0,0,0,1,0,0,0
1,115.0,0.5,1,0.004651162790697674,0,0,0,0,0,0,1,1,0,0,0
1,154.0,0.5,1,0.0014265335235378032,0,0,0,0,0,0,1,1,0,0,0
1,344.0,0.5,1,0.03333333333333333,0,0,1,0,0,0,0,0,0,1,0
1,344.0,0.5,1,0.017543859649122806,0,0,1,0,0,0,0,0,0,1,0
1,72.0,1.0,1,2.2276676319893073E-4,0,0,0,1,0,0,0,0,1,0,0
1,71.0,1.0,1,0.04,0,0,0,0,0,0,1,1,0,0,0
1,116.0,0.5,1,0.0035087719298245615,0,0,1,0,0,0,0,0,0,1,0
1,116.0,0.5,1,0.0035087719298245615,0,0,1,0,0,0,0,0,0,1,0
1,97.0,1.0,1,7.82472613458529E-4,0,0,0,0,0,0,1,1,0,0,0
1,191.0,1.0,1,2.2276676319893073E-4,0,0,1,0,0,0,0,0,0,1,0
1,304.0,0.3333333333333333,1,2.2276676319893073E-4,0,0,0,0,0,0,1,1,0,0,0
1,60.0,0.3333333333333333,1,8.051529790660225E-4,0,0,0,0,0,0,1,1,0,0,0
1,60.0,0.3333333333333333,1,0.0012077294685990338,0,0,0,0,0,0,1,1,0,0,0
1,68.0,1.0,1,0.0036101083032490976,0,0,1,0,0,0,0,0,0,1,0
2,33.0,1.0,1,4.4553352639786146E-4,0,0,1,0,0,0,0,0,0,1,0
1,158.0,1.0,1,0.013513513513513514,0,0,1,0,0,0,0,0,0,1,0
1,87.0,1.0,1,0.009174311926605505,0,0,0,0,1,0,0,0,1,0,0
1,109.0,1.0,1,2.2276676319893073E-4,0,0,0,0,0,0,1,1,0,0,0
3,54.0,0.42857142857142855,1,6.683002895967921E-4,0,0,0,0,0,0,1,1,0,0,0
